ID	PCG	non-coding	rRNA	tRNA
SRR1583024	8	7	0	0
SRR1582919	13	4	1	0
SRR1582976	49	16	7	3
SRR1582934	16	20	7	0
SRR1583002	7	6	1	0
SRR1582954	14	15	4	0
SRR1582916	47	10	7	0
SRR1583062	8	6	2	1
SRR1582975	24	9	5	2
SRR1582930	24	7	5	0
SRR1583036	9	6	1	0
SRR1582995	1	17	3	0
SRR1583016	7	10	1	0
SRR1583009	1	15	1	0
SRR1582917	18	9	3	0
SRR1583052	7	3	1	0
SRR1582956	23	7	3	0
SRR1582953	21	18	4	0
SRR1583034	9	4	1	0
SRR1582929	16	2	4	0
SRR1582926	43	10	3	0
SRR1583013	7	6	1	0
SRR1583012	1	16	0	0
SRR1582951	12	6	1	0
SRR1582985	14	9	3	1
SRR1582927	20	7	5	0
SRR1583005	10	5	2	1
SRR1583048	8	7	2	1
SRR1582997	7	3	2	0
SRR1583063	9	7	1	0
SRR1583053	8	9	3	2
SRR1583020	8	5	1	0
SRR1582912	35	9	4	0
SRR1583041	1	18	0	1
SRR1582937	30	11	5	0
SRR1582982	11	9	1	0
SRR1582996	1	15	0	0
SRR1583022	6	4	1	0
SRR1582948	14	5	2	0
SRR1582910	40	5	5	0
SRR1582939	21	8	4	0
SRR1582933	28	12	4	0
SRR1583025	1	2	3	0
SRR1582964	34	13	5	0
SRR1582973	36	6	6	0
SRR1583049	11	5	2	0
SRR1583026	2	2	1	0
SRR1582978	42	9	6	1
SRR1583023	10	6	1	0
SRR1582993	8	6	1	0
SRR1582918	18	17	3	0
SRR1583007	23	1	2	0
SRR1583059	1	17	2	0
SRR1583055	1	18	4	0
SRR1582936	37	11	6	1
SRR1583044	8	6	1	0
SRR1582991	11	5	2	0
SRR1582915	34	7	5	0
SRR1582950	21	7	4	0
SRR1582957	26	9	5	0
SRR1582979	22	6	5	0
SRR1583038	8	5	1	0
SRR1582952	22	12	1	0
SRR1583040	6	5	1	0
SRR1583047	11	8	1	0
SRR1582999	6	4	1	0
SRR1582960	34	10	4	0
SRR1582965	17	15	2	0
SRR1582981	9	8	1	1
SRR1582909	23	9	3	0
SRR1582920	43	7	7	0
SRR1582942	20	6	3	0
SRR1583011	1	11	1	0
SRR1583061	10	6	2	0
SRR1582941	18	6	2	0
SRR1583021	8	5	1	0
SRR1582962	39	18	6	0
SRR1582967	16	6	5	0
SRR1582992	9	3	2	0
SRR1582924	30	7	3	0
SRR1583054	7	10	0	2
SRR1583017	11	14	1	1
SRR1582989	9	9	3	0
SRR1583037	5	6	1	0
SRR1582914	39	4	4	0
SRR1583043	9	7	3	0
SRR1583008	17	8	3	0
SRR1582921	29	5	6	0
SRR1583000	7	5	1	0
SRR1582970	80	18	8	0
SRR1583031	14	19	3	0
SRR1582932	33	19	4	0
SRR1583001	5	7	1	0
SRR1582925	26	3	5	0
SRR1583058	9	6	2	0
SRR1582987	6	6	1	0
SRR1582946	28	6	5	0
SRR1582931	19	5	2	0
SRR1583060	6	4	1	1
SRR1582913	12	4	4	0
SRR1582935	16	10	2	0
SRR1582969	20	10	6	1
SRR1583030	5	7	1	0
SRR1583029	5	7	1	0
SRR1582911	13	9	4	0
SRR1582943	6	4	1	0
SRR1582922	53	11	6	0
SRR1583039	5	6	3	0
SRR1582971	22	5	4	0
SRR1582986	40	11	5	0
SRR1583057	9	8	3	0
SRR1583050	11	4	1	0
SRR1583045	5	3	1	0
SRR1582983	26	10	5	0
SRR1582974	19	8	2	1
SRR1583032	19	15	4	0
SRR1582998	8	3	1	0
SRR1583051	7	3	1	0
SRR1582966	41	19	5	0
SRR1582984	54	15	8	1
SRR1582977	27	8	5	0
SRR1583033	9	5	1	0
SRR1582963	9	5	2	0
SRR1582972	77	18	7	0
SRR1583018	16	8	1	0
SRR1582923	23	5	4	0
SRR1582961	21	6	5	0
SRR1583015	7	10	1	0
SRR1582990	11	10	1	0
SRR1583027	7	7	1	0
SRR1583006	11	4	3	0
SRR1583019	11	4	2	0
SRR1582968	40	10	6	0
SRR1582994	9	7	1	0
SRR1582940	19	14	2	0
SRR1582945	9	12	2	0
SRR1583004	5	4	2	1
SRR1582938	18	15	3	0
SRR1582947	18	5	4	0
SRR1583046	6	4	1	1
SRR1583028	6	5	1	1
SRR1582980	38	15	4	0
SRR1582949	19	8	2	1
SRR1583003	7	5	1	0
SRR1583035	8	6	1	0
SRR1582988	5	5	1	0
SRR1582928	32	13	3	1
SRR1582958	30	11	3	0
SRR1582944	19	8	4	0
SRR1583014	6	5	1	0
SRR1582955	18	6	2	0
SRR1583064	7	5	1	0
SRR1582959	19	5	4	0
